,Date,Sent
0,2023-01-03,Negative
1,2023-01-04,Neutral
2,2023-01-05,Neutral
3,2023-01-06,Positive
4,2023-01-09,Neutral
5,2023-01-10,Neutral
6,2023-01-11,Neutral
7,2023-01-12,Neutral
8,2023-01-13,Positive
9,2023-01-17,Neutral
10,2023-01-18,Neutral
11,2023-01-19,Neutral
12,2023-01-20,Neutral
13,2023-01-23,Neutral
14,2023-01-24,Positive
15,2023-01-25,Positive
16,2023-01-26,Positive
17,2023-01-27,Neutral
18,2023-01-30,Positive
19,2023-01-31,Neutral
20,2023-02-01,Neutral
21,2023-02-02,Neutral
22,2023-02-03,Neutral
23,2023-02-06,Neutral
24,2023-02-07,Positive
25,2023-02-08,Positive
26,2023-02-09,Neutral
27,2023-02-10,Neutral
28,2023-02-13,Positive
29,2023-02-14,Neutral
30,2023-02-15,Neutral
31,2023-02-16,Neutral
32,2023-02-17,Neutral
33,2023-02-21,Positive
34,2023-02-22,Negative
35,2023-02-23,Negative
36,2023-02-24,Neutral
37,2023-02-27,Positive
38,2023-02-28,Neutral
39,2023-03-01,Positive
40,2023-03-02,Positive
41,2023-03-03,Positive
42,2023-03-06,Neutral
43,2023-03-07,Positive
44,2023-03-08,Positive
45,2023-03-09,Neutral
46,2023-03-10,Neutral
47,2023-03-13,Neutral
48,2023-03-14,Negative
49,2023-03-15,Neutral
50,2023-03-16,Positive
51,2023-03-17,Positive
52,2023-03-20,Neutral
53,2023-03-21,Neutral
54,2023-03-22,Neutral
55,2023-03-23,Positive
56,2023-03-24,Positive
57,2023-03-27,Positive
58,2023-03-28,Positive
59,2023-03-29,Neutral
60,2023-03-30,Positive
61,2023-03-31,Positive
62,2023-04-03,Positive
63,2023-04-04,Positive
64,2023-04-05,Positive
65,2023-04-06,Positive
66,2023-04-10,Neutral
67,2023-04-11,Negative
68,2023-04-12,Neutral
69,2023-04-13,Positive
70,2023-04-14,Positive
71,2023-04-17,Neutral
72,2023-04-18,Neutral
73,2023-04-19,Neutral
74,2023-04-20,Positive
75,2023-04-21,Neutral
76,2023-04-24,Positive
77,2023-04-25,Positive
78,2023-04-26,Positive
79,2023-04-27,Positive
80,2023-04-28,Positive
81,2023-05-01,Positive
82,2023-05-02,Neutral
83,2023-05-03,Neutral
84,2023-05-04,Positive
85,2023-05-05,Positive
86,2023-05-08,Neutral
87,2023-05-09,Neutral
88,2023-05-10,Neutral
89,2023-05-11,Neutral
90,2023-05-12,Positive
91,2023-05-15,Negative
92,2023-05-16,Positive
93,2023-05-17,Neutral
94,2023-05-18,Positive
95,2023-05-19,Positive
96,2023-05-22,Negative
97,2023-05-23,Positive
98,2023-05-24,Positive
99,2023-05-25,Neutral
100,2023-05-26,Neutral
101,2023-05-30,Positive
102,2023-05-31,Positive
103,2023-06-01,Positive
104,2023-06-02,Positive
105,2023-06-05,Positive
106,2023-06-06,Negative
107,2023-06-07,Negative
108,2023-06-08,Neutral
109,2023-06-09,Neutral
110,2023-06-12,Positive
111,2023-06-13,Positive
112,2023-06-14,Positive
113,2023-06-15,Positive
114,2023-06-16,Neutral
115,2023-06-20,Positive
116,2023-06-21,Negative
117,2023-06-22,Positive
118,2023-06-23,Positive
119,2023-06-26,Negative
120,2023-06-27,Positive
121,2023-06-28,Positive
122,2023-06-29,Positive
123,2023-06-30,Positive
124,2023-07-03,Positive
125,2023-07-05,Neutral
126,2023-07-06,Neutral
127,2023-07-07,Neutral
128,2023-07-10,Positive
129,2023-07-11,Positive
130,2023-07-12,Negative
131,2023-07-13,Negative
132,2023-07-14,Neutral
133,2023-07-17,Positive
134,2023-07-18,Positive
135,2023-07-19,Neutral
136,2023-07-20,Positive
137,2023-07-21,Positive
138,2023-07-24,Neutral
139,2023-07-25,Positive
140,2023-07-26,Positive
141,2023-07-27,Negative
142,2023-07-28,Negative
143,2023-07-31,Positive
144,2023-08-01,Neutral
145,2023-08-02,Negative
146,2023-08-03,Negative
147,2023-08-04,Negative
148,2023-08-07,Neutral
149,2023-08-08,Positive
150,2023-08-09,Positive
151,2023-08-10,Negative
152,2023-08-11,Positive
153,2023-08-14,Positive
154,2023-08-15,Positive
155,2023-08-16,Positive
156,2023-08-17,Positive
157,2023-08-18,Neutral
158,2023-08-21,Neutral
159,2023-08-22,Neutral
160,2023-08-23,Positive
161,2023-08-24,Positive
162,2023-08-25,Positive
163,2023-08-28,Positive
164,2023-08-29,Positive
165,2023-08-30,Negative
166,2023-08-31,Positive
167,2023-09-01,Positive
168,2023-09-05,Neutral
169,2023-09-06,Neutral
170,2023-09-07,Neutral
171,2023-09-08,Neutral
172,2023-09-11,Neutral
173,2023-09-12,Neutral
174,2023-09-13,Neutral
175,2023-09-14,Positive
176,2023-09-15,Positive
177,2023-09-18,Positive
178,2023-09-19,Neutral
179,2023-09-20,Neutral
180,2023-09-21,Neutral
181,2023-09-22,Neutral
182,2023-09-25,Positive
183,2023-09-26,Neutral
184,2023-09-27,Negative
185,2023-09-28,Negative
186,2023-09-29,Neutral
187,2023-10-02,Neutral
188,2023-10-03,Negative
189,2023-10-04,Negative
190,2023-10-05,Positive
191,2023-10-06,Positive
192,2023-10-09,Negative
193,2023-10-10,Negative
194,2023-10-11,Neutral
195,2023-10-12,Neutral
196,2023-10-13,Neutral
197,2023-10-16,Neutral
198,2023-10-17,Neutral
199,2023-10-18,Positive
200,2023-10-19,Negative
201,2023-10-20,Negative
202,2023-10-23,Neutral
203,2023-10-24,Negative
204,2023-10-25,Positive
205,2023-10-26,Positive
206,2023-10-27,Positive
207,2023-10-30,Neutral
208,2023-10-31,Neutral
209,2023-11-01,Negative
210,2023-11-02,Negative
211,2023-11-03,Negative
212,2023-11-06,Positive
213,2023-11-07,Neutral
214,2023-11-08,Neutral
215,2023-11-09,Positive
216,2023-11-10,Neutral
217,2023-11-13,Positive
218,2023-11-14,Positive
219,2023-11-15,Positive
220,2023-11-16,Neutral
221,2023-11-17,Positive
222,2023-11-20,Neutral
223,2023-11-21,Neutral
224,2023-11-22,Neutral
225,2023-11-24,Neutral
226,2023-11-27,Neutral
227,2023-11-28,Neutral
228,2023-11-29,Positive
229,2023-11-30,Positive
230,2023-12-01,Neutral
231,2023-12-04,Positive
232,2023-12-05,Positive
233,2023-12-06,Positive
234,2023-12-07,Positive
235,2023-12-08,Positive
236,2023-12-11,Positive
237,2023-12-12,Neutral
238,2023-12-13,Neutral
239,2023-12-14,Neutral
240,2023-12-15,Neutral
241,2023-12-18,Negative
242,2023-12-19,Negative
243,2023-12-20,Negative
244,2023-12-21,Neutral
245,2023-12-22,Neutral
246,2023-12-26,Neutral
247,2023-12-27,Neutral
248,2023-12-28,Neutral
249,2023-12-29,Positive
250,2024-01-02,Negative
251,2024-01-03,Neutral
252,2024-01-04,Neutral
253,2024-01-05,Positive
254,2024-01-08,Neutral
255,2024-01-09,Negative
256,2024-01-10,Negative
257,2024-01-11,Positive
258,2024-01-12,Positive
259,2024-01-16,Negative
260,2024-01-17,Positive
261,2024-01-18,Positive
262,2024-01-19,Neutral
263,2024-01-22,Positive
264,2024-01-23,Positive
265,2024-01-24,Positive
266,2024-01-25,Positive
267,2024-01-26,Neutral
268,2024-01-29,Negative
269,2024-01-30,Negative
270,2024-01-31,Negative
271,2024-02-01,Positive
272,2024-02-02,Positive
273,2024-02-05,Positive
274,2024-02-06,Positive
275,2024-02-07,Positive
276,2024-02-08,Positive
277,2024-02-09,Neutral
278,2024-02-12,Neutral
279,2024-02-13,Neutral
280,2024-02-16,Positive
281,2024-02-20,Neutral
282,2024-02-21,Positive
283,2024-02-22,Positive
284,2024-02-23,Neutral
285,2024-02-26,Neutral
286,2024-02-27,Positive
287,2024-02-28,Positive
288,2024-02-29,Neutral
289,2024-03-01,Neutral
